"ptp","break_idx","time_spent_msec","time_spent_mins"
"sub_001",1,112553.599999964,1.87589333333274
"sub_001",2,29615.8999999762,0.493598333332936
"sub_001",3,54001.3000000715,0.900021666667859
"sub_001",4,3763.39999997616,0.062723333332936
"sub_001",5,72123.4999998808,1.20205833333135
"sub_001",6,77551.1000000238,1.29251833333373
"sub_001",7,53992.1999999285,0.899869999998808
"sub_001",8,8026.10000002384,0.133768333333731
"sub_001",9,50755.8000000715,0.845930000001192
"sub_001",10,6039.09999990463,0.100651666665077
"sub_001",11,4460.09999990463,0.0743349999984105
"sub_002",1,27757.6999999881,0.462628333333135
"sub_002",2,8535.69999998808,0.142261666666468
"sub_002",3,51259.1999999881,0.854319999999801
"sub_002",4,12571.2999999523,0.209521666665872
"sub_002",5,39326.6999999881,0.655444999999801
"sub_002",6,3316.0000000596,0.0552666666676601
"sub_002",7,35564.5999999642,0.592743333332737
"sub_002",8,8967.10000002384,0.149451666667064
"sub_002",9,52700.1999999881,0.878336666666468
"sub_002",10,2944.80000001192,0.0490800000001987
"sub_002",11,3280.89999997616,0.0546816666662693
"sub_003",1,152277.700000018,2.53796166666696
"sub_003",2,6557.80000001192,0.109296666666865
"sub_003",3,67660.8000000119,1.1276800000002
"sub_003",4,19171.1999999881,0.319519999999801
"sub_003",5,77280.400000006,1.28800666666677
"sub_003",6,12525.4999999702,0.208758333332837
"sub_003",7,74775.2000000179,1.24625333333363
"sub_003",8,18365.2999999821,0.306088333333035
"sub_003",9,93263.6999999881,1.5543949999998
"sub_003",10,10036.099999994,0.167268333333234
"sub_003",11,4460.40000000596,0.0743400000000993
"sub_004",1,93231.3999999762,1.55385666666627
"sub_004",2,78499.0000001192,1.30831666666865
"sub_004",3,70167.8999999762,1.1694649999996
"sub_004",4,54407.1999999285,0.906786666665475
"sub_004",5,64079.0000001192,1.06798333333532
"sub_004",6,62941.2000000477,1.04902000000079
"sub_004",7,29806.8000000715,0.496780000001192
"sub_004",8,6128.10000002384,0.102135000000397
"sub_004",9,56017.9999998808,0.933633333331347
"sub_004",10,22522.1000000238,0.375368333333731
"sub_004",11,3341.5,0.0556916666666667
"sub_005",1,137345.800000191,2.28909666666985
"sub_005",2,8006.99999976158,0.133449999996026
"sub_005",3,110226.099999905,1.83710166666508
"sub_005",4,7900.59999990463,0.131676666665077
"sub_005",5,113618.500000238,1.89364166667064
"sub_005",6,122677.5,2.044625
"sub_005",7,138628,2.31046666666667
"sub_005",8,109723.299999952,1.82872166666587
"sub_005",9,51672.2000000477,0.861203333334128
"sub_005",10,2130.89999985695,0.0355149999976158
"sub_005",11,3829.5,0.063825
"sub_006",1,167207.99999994,2.78679999999901
"sub_006",2,9677,0.161283333333333
"sub_006",3,84449.7999999523,1.40749666666587
"sub_006",4,3040.29999995232,0.0506716666658719
"sub_006",5,98664.0999999642,1.64440166666607
"sub_006",6,2751.9999999404,0.0458666666656733
"sub_006",7,73459.8999999762,1.22433166666627
"sub_006",8,3660.69999992847,0.0610116666654746
"sub_006",9,57152.3000000119,0.952538333333532
"sub_006",10,4313.39999997616,0.0718899999996026
"sub_006",11,8743.0000000596,0.14571666666766
"sub_007",1,67128.8000000119,1.11881333333353
"sub_007",2,14112.5,0.235208333333333
"sub_007",3,109219.100000024,1.82031833333373
"sub_007",4,32373.1000000238,0.539551666667064
"sub_007",5,82648.7000000477,1.37747833333413
"sub_007",6,22838.5,0.380641666666667
"sub_007",7,107057.600000024,1.78429333333373
"sub_007",8,18897.3000000119,0.314955000000199
"sub_007",9,73591.8000000119,1.2265300000002
"sub_007",10,46730,0.778833333333333
"sub_007",11,18855.1000000238,0.314251666667064
"sub_008",1,113951.5,1.89919166666667
"sub_008",2,18483.299999997,0.30805499999995
"sub_008",3,30186.1999999993,0.503103333333321
"sub_008",4,16552.6000000015,0.275876666666692
"sub_008",5,38296.5,0.638275
"sub_008",6,13218.3000000007,0.220305000000012
"sub_008",7,46670.4999999963,0.777841666666605
"sub_008",8,124824.199999999,2.08040333333332
"sub_008",9,77179.799999997,1.28632999999995
"sub_008",10,12981.3999999985,0.216356666666642
"sub_008",11,3541.30000000075,0.0590216666666791
"sub_009",1,72425,1.20708333333333
"sub_009",2,110729,1.84548333333333
"sub_009",3,354795,5.91325
"sub_009",4,140821,2.34701666666667
"sub_009",5,91792,1.52986666666667
"sub_009",6,56844,0.9474
"sub_009",7,54258,0.9043
"sub_009",8,2882,0.0480333333333333
"sub_009",9,64650,1.0775
"sub_009",10,14496,0.2416
"sub_009",11,4346,0.0724333333333333
"sub_010",1,189121.300000012,3.15202166666687
"sub_010",2,20404,0.340066666666667
"sub_010",3,103506.200000048,1.72510333333413
"sub_010",4,7960.10000002384,0.132668333333731
"sub_010",5,92839.8999999762,1.54733166666627
"sub_010",6,14327.3999999762,0.238789999999603
"sub_010",7,88250.2999999523,1.47083833333254
"sub_010",8,2750.89999997616,0.045848333332936
"sub_010",9,83039.8999999762,1.38399833333294
"sub_010",10,4661.59999996424,0.0776933333327373
"sub_010",11,4759.29999995232,0.0793216666658719
"sub_011",1,58551.5,0.975858333333333
"sub_011",2,5285.09999999963,0.0880849999999938
"sub_011",3,321003.1,5.35005166666667
"sub_011",4,36127.5000000009,0.602125000000015
"sub_011",5,24289.9000000004,0.404831666666673
"sub_011",6,3623.79999999981,0.0603966666666636
"sub_011",7,39069.1999999993,0.651153333333321
"sub_011",8,6531.60000000056,0.108860000000009
"sub_011",9,49174.1000000006,0.819568333333343
"sub_011",10,5946.90000000037,0.0991150000000062
"sub_011",11,37351.9000000004,0.622531666666673
"sub_012",1,96377.2000000477,1.60628666666746
"sub_012",2,6717.69999998808,0.111961666666468
"sub_012",3,36357.1999999881,0.605953333333135
"sub_012",4,2725,0.0454166666666667
"sub_012",5,41720.8000000119,0.695346666666865
"sub_012",6,20437.3000000119,0.340621666666865
"sub_012",7,55671.5,0.927858333333333
"sub_012",8,4050.09999996424,0.0675016666660706
"sub_012",9,51082.5000000596,0.851375000000993
"sub_012",10,1893.60000002384,0.0315600000003974
