ptp,condition,hidden_pa_img_type,counterbalancing,block_2_mouse_error_mean,block_2_mouse_error_sd,block_2_rt_mean,block_2_rt_sd,rep_2_3_4_mouse_error_mean,rep_2_3_4_mouse_error_sd,rep_2_3_4_mouse_rt_mean,rep_2_3_4_mouse_rt_sd,rep_1_mouse_error_mean,rep_2_mouse_error_mean,rep_1_to_2_diff,block_2_mouse_error_mean_LOG,fminsearch_two_param_1,fminsearch_two_param_2,fminsearch_two_param_fval,fminsearch_two_param_exitflag,fminsearch_two_param_message,fminsearch_two_param_2_8_1,fminsearch_two_param_2_8_2,fminsearch_two_param_fval_2_8,fminsearch_two_param_exitflag_2_8,fminsearch_two_param_message_2_8,fminsearch_three_param_1,fminsearch_three_param_2,fminsearch_three_param_3,fminsearch_three_param_fval,fminsearch_three_param_exitflag,fminsearch_three_param_message,fminsearch_three_param_2_8_1,fminsearch_three_param_2_8_2,fminsearch_three_param_2_8_3,fminsearch_three_param_fval_2_8,fminsearch_three_param_exitflag_2_8,fminsearch_three_param_message_2_8,warnMsg,warnId,sse_two_param,intercept_two_param,learning_rate_two_param,logLik_two_param,AIC_two_param,BIC_two_param,sse_three_param,intercept_three_param,learning_rate_three_param,asymptote_three_param,logLik_three_param,AIC_three_param,BIC_three_param,border_dist_closest,no_data_first_rep,Q1_two_param,Q3_two_param,IQR_two_param,lower_boundary_two_param,upper_boundary_two_param,outside_iqr_two_param,Q1_three_param,Q3_three_param,IQR_three_param,lower_boundary_three_param,upper_boundary_three_param,outside_iqr_three_param,group_average_data_two_param,group_average_data_three_param,learning_rate_two_param_no_outlier,learning_rate_three_param_no_outlier,learning_rate_two_param_no_outlier_G,learning_rate_two_param_G,learning_rate_three_param_no_outlier_G,learning_rate_three_param_G
sub_001,schema_c,all_pa,cb2,25.048311161990366,14.02452225282508,1221.0249999811251,218.13481123499557,49.11905278529999,59.17783204337446,1148.0722222394413,252.1628624216803,182.54580916078086,68.57369557299309,113.97211358778777,3.2208064065751127,172.815573361851,0.632521938053906,2343.60991755952,1,NA,61.334221976736,0.222872507813506,629.139029454704,1,NA,181.962198012944,1.19622150300656,156.181026080696,244.259257138069,1,NA,70.1394098233209,0.89893710650825,45.7844645934477,208.744236731127,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,2343.60991755952,172.815573365124,0.632521938092934,-34.0715329766163,72.1430659532327,72.3019490365923,244.259257138069,181.962198012944,1.19622150300656,25.7811719322474,-25.0266628607697,56.0533257215393,56.2916503465788,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,FALSE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,FALSE,0.3169784441630267,0.7308257475016076,0.632521938092934,1.19622150300656,0.5396060937988334,0.5217564523030768,0.966299375399712,1.1681446446035666
sub_001,schema_c,far,cb2,35.1591412481841,14.52648286131558,1255.887499988079,265.14640396874694,51.48223718241907,36.74237422431476,1169.4000000158946,360.673115172305,179.69007515099412,30.217105697981527,149.47296945301258,3.5598846484056224,146.873347543174,0.400809738202138,8906.78595340628,1,NA,48.8363606298941,0.050864419897335,3115.93007046714,1,NA,179.690075207605,35.9835312505065,137.535321443123,3236.88501683338,1,NA,49.8493145927211,0.218901373025374,17.880222707635,3103.48359451998,1,NA,"Some columns of the Jacobian are effectively zero at the solution, indicating that the model is insensitive to some of its parameters.  That may be because those parameters are not present in the model, or otherwise do not affect the predicted values.  It may also be due to numerical underflow in the model function, which can sometimes be avoided by choosing better initial parameter values, or by rescaling or recentering.  Parameter estimates may be unreliable.",stats:nlinfit:ModelConstantWRTParam,8906.78595340463,146.873347686357,0.400810013947532,-39.4120170263775,82.824034052755,82.9829171361147,3236.88501683338,179.690075207605,35.9835312505065,42.1547537644823,-35.3632090260115,76.726418052023,76.9647426770625,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,FALSE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,TRUE,0.2181119730596659,0.5770845946648123,0.400810013947532,0.5770845946648123,0.37830636050374844,0.37562801106252997,0.569290638861681,5.819435254923602
sub_001,schema_c,near,cb2,21.01116929780483,12.262535295234592,1259.5999999940395,233.9743697924019,25.14719157713524,13.634289483242894,1208.7833333412807,172.27090781667192,166.16559801101187,18.280267445886516,147.88533056512534,3.045054167654043,165.400678442565,1.82484536515912,3566.17771862657,1,NA,20.5433449105209,-0.0337059353767443,393.487725880898,1,NA,166.165598074601,35.9997394425318,143.381847797078,409.107756277522,1,NA,20.6013897046402,0.00106209641492408,-686.505205962834,394.29333870732,1,NA,"Some columns of the Jacobian are effectively zero at the solution, indicating that the model is insensitive to some of its parameters.  That may be because those parameters are not present in the model, or otherwise do not affect the predicted values.  It may also be due to numerical underflow in the model function, which can sometimes be avoided by choosing better initial parameter values, or by rescaling or recentering.  Parameter estimates may be unreliable.",stats:nlinfit:ModelConstantWRTParam,3566.17771862657,165.400676164425,1.82484553431008,-35.7507406355136,75.5014812710272,75.6603643543869,409.107756277522,166.165598074601,35.9997394425318,22.7837502775233,-27.0896564354133,60.1793128708265,60.417637495866,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,TRUE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,TRUE,0.2911419304541319,0.6452522023546766,0.2911419304541319,0.6452522023546766,0.286740986420015,0.9490997322114236,0.625613175297569,5.820199908749804
sub_001,schema_l,all_pa,cb2,28.699838477629044,17.98479941078174,1240.875000004967,188.85396301840834,74.92213444330072,77.85159516242499,1234.6166666812367,234.46845079511974,154.89499982610056,110.47390104560685,44.42109878049371,3.356891494792562,155.812306321679,0.364333347169998,1875.77887219189,1,NA,109.899226501222,0.374454748365547,1871.30633408264,1,NA,159.94357028463,0.491145308701508,143.425482900018,1631.37276464363,1,NA,116.305301072651,0.717031613116785,93.8068042977411,1374.13084100664,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,1875.77887218938,155.81236398407,0.364333499506034,-33.1808591015238,70.3617182030476,70.5206012864073,1631.37276464363,159.94357028463,0.491145308701508,16.518087384612,-32.6224506039514,71.2449012079028,71.4832258329424,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,FALSE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,FALSE,0.24203014636525688,0.6776786355758343,0.364333499506034,0.491145308701508,0.3491847626818727,0.34808726645824195,0.49082485472331344,0.3951331238116844
sub_001,schema_l,far,cb2,25.113985621595003,16.746342397066165,1160.9375,164.72814781014318,68.29506535745432,66.55377107130018,1116.2666666706402,119.3318677724776,82.47288698517498,45.664888575801584,36.8079984093734,3.2234248870411246,87.875410691816,0.196783072846963,7521.09120595665,1,NA,77.6116358145861,0.22324671264414,7443.77849580731,1,NA,87.8752779202524,0.196782303116572,87.8752779101858,7521.09120606155,1,NA,77.6115357066058,0.223245939447529,77.6115356986329,7443.77849585239,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,7521.09120595539,87.8754000688357,0.196783112024244,-38.7356081532852,81.4712163065703,81.63009938993,7521.09120606155,87.8752779202524,0.196782303116572,1.00665999980265e-8,-38.7356081533416,83.4712163066832,83.7095409317227,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,FALSE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,FALSE,0.14269086112395588,0.6139569117774384,0.196783112024244,0.196782303116572,0.19660875292089147,0.1954005921166438,0.10920871778803815,-0.20489300871291005
sub_001,schema_l,near,cb2,44.27627979607619,17.339037529273895,1416.7999999970198,162.17021920980605,105.21130190680637,90.96768165370582,1288.3333333532016,211.52597637658565,180.95458485348786,165.80533825103987,15.149246602447988,3.790449088865507,190.923572584553,0.30320657656623,4371.46721367901,1,NA,157.444443202989,0.368853763796042,3932.10586067753,1,NA,195.057017051521,0.39536701977857,174.994392466706,4164.200198883,1,NA,170.659768017023,0.853174533761892,133.38398029072,2422.32232198785,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,4371.46721367806,190.923595086452,0.303206697978194,-36.5651580132235,77.130316026447,77.2891991098067,4164.200198883,195.057017051521,0.39536701977857,20.0626245848152,-36.3708601272432,78.7417202544864,78.9800448795259,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,FALSE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,FALSE,0.23864850445013547,0.6161971038658938,0.303206697978194,0.39536701977857,0.29743648528395944,0.29803263254563217,0.3906125808690325,0.23567733531391588
sub_001,schema_ic,all_pa,cb2,29.448167878031537,12.81172551580184,1244.320833320419,165.21012701727085,37.29422739706394,32.347285236217935,1427.2470588123097,353.92953063963614,133.25821526627192,51.367328290805865,81.89088697546606,3.3826316968901207,114.668644094929,0.411815719711814,2521.05243566102,1,NA,42.7999390884865,0.0912939445934026,243.726746745836,1,NA,133.303706971617,1.56705113040581,104.085029269491,77.3229704831292,1,NA,51.3691500574038,1.89409698111035,21.907161101452,75.9376323622993,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,2521.05243566102,114.668644094811,0.411815719750488,-34.3634690049973,72.7269380099946,72.8858210933543,77.3229704831291,133.303706971617,1.56705113040581,29.2186777021257,-20.425706385501,46.8514127710021,47.0897373960416,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,FALSE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,FALSE,0.3028306223077924,0.7075670299348331,0.411815719750488,1.56705113040581,0.38685838807936035,0.3836379670663084,1.1307275826890555,1.4412023873674482
sub_001,schema_ic,far,cb2,36.089304668897256,15.677714110901917,1328.8624999970198,188.5906143502768,47.2549593193636,39.450022442098415,1109.3499999841054,80.7314746919656,102.27861283098488,63.375635710101356,38.90297712088353,3.585996551882706,89.2473146712045,0.209845838574422,1449.92768731796,1,NA,58.3813535504479,0.130231452118197,955.135605030425,1,NA,101.922915258594,0.766596450477761,69.582862127745,950.186112382259,1,NA,61.9979288731027,0.459778832107737,33.6402392336603,941.113193609993,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,1449.92768731715,89.2473389721816,0.209846044926305,-32.150817952339096,68.301635904678193,68.4605189880379,950.186112382259,101.922915258594,0.766596450477761,32.3400531308485,-30.4603735916299,66.9207471832598,67.1590718082993,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,FALSE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,FALSE,0.201065477031367,0.5903429878458518,0.209846044926305,0.766596450477761,0.20984317082015064,0.20932910021570167,0.715736105582046,0.7575428874678636
sub_001,schema_ic,near,cb2,28.355053091553124,10.759814537898169,1202.8124999850988,85.12316180840085,20.288461188061998,10.13748241521637,1494.5833333134651,352.3818009912783,167.89042106617177,12.291765592489345,155.5986554736824,3.3448052538519346,167.550316728413,2.21879712893477,4715.9210606387,1,NA,14.5792459618726,-0.160290157443691,195.663779810463,1,NA,167.890421051034,38.8572451204388,142.992478714893,598.413041233744,1,NA,13.9620460393533,0.00531979855826455,-693.144730471212,228.449045281283,1,NA,"Some columns of the Jacobian are effectively zero at the solution, indicating that the model is insensitive to some of its parameters.  That may be because those parameters are not present in the model, or otherwise do not affect the predicted values.  It may also be due to numerical underflow in the model function, which can sometimes be avoided by choosing better initial parameter values, or by rescaling or recentering.  Parameter estimates may be unreliable.",stats:nlinfit:ModelConstantWRTParam,4715.92106063861,167.550355114032,2.21879993266989,-36.8685401904817,77.7370803809634,77.8959634643231,598.413041233744,167.890421051034,38.8572451204388,24.8979423361416,-28.6108669786316,63.2217339572631,63.4600585823026,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,TRUE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,TRUE,0.3024971059331446,0.6302043441507524,0.3024971059331446,0.6302043441507524,0.29681208430542305,1.0403210563346026,0.6135738872032854,5.950345111470139
sub_001,random_loc,all_pa,cb2,37.21354721880588,25.681612514242143,1413.9833333343267,341.17705165422944,68.09053888406203,57.48470928659276,1293.8888888822662,282.3926800644085,172.27184014877014,89.5653299270802,82.70651022168994,3.6166728675329183,153.139621246067,0.340025538232034,2608.65376112102,1,NA,78.2406499107309,0.167515395874559,812.344699267024,1,NA,172.05732752344,0.942939385611094,133.753278173287,331.327458348968,1,NA,89.4588758604149,0.874451354131232,51.6403575099346,328.888880698045,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,2608.65376112102,153.139621244674,0.340025538249296,-34.5001003665549,73.0002007331098,73.1590838164694,331.327458348968,172.05732752344,0.942939385611094,38.3040493501527,-26.2461708448785,58.492341689757,58.7306663147966,all,FALSE,0.11396366729689125,0.36483241094444047,0.2508687436475492,-0.26233944817443255,0.7411355264157642,FALSE,0.21421898908266973,1.2741140434067424,1.0598950543240726,-1.3756235924034392,2.863956624892851,FALSE,0.20064387363645309,0.6303057092104246,0.340025538249296,0.942939385611094,0.32907264895886845,0.32881236841474293,0.8291365580191317,0.9425181145934839
