ptp,condition,hidden_pa_img_type,fminsearch_two_param_1,fminsearch_two_param_2,fminsearch_two_param_fval,fminsearch_two_param_exitflag,fminsearch_two_param_message,fminsearch_two_param_2_8_1,fminsearch_two_param_2_8_2,fminsearch_two_param_fval_2_8,fminsearch_two_param_exitflag_2_8,fminsearch_two_param_message_2_8,fminsearch_three_param_1,fminsearch_three_param_2,fminsearch_three_param_3,fminsearch_three_param_fval,fminsearch_three_param_exitflag,fminsearch_three_param_message,fminsearch_three_param_2_8_1,fminsearch_three_param_2_8_2,fminsearch_three_param_2_8_3,fminsearch_three_param_fval_2_8,fminsearch_three_param_exitflag_2_8,fminsearch_three_param_message_2_8,warnMsg,warnId,sse_two_param,intercept_two_param,learning_rate_two_param,logLik_two_param,AIC_two_param,BIC_two_param,sse_three_param,intercept_three_param,learning_rate_three_param,asymptote_three_param,logLik_three_param,AIC_three_param,BIC_three_param
sub_001,no_schema,all_pa,129.896336133936,0.3856331850121,2616.67323346936,1,,57.6687203333778,0.155568074823515,680.923330042082,1,,146.869275214238,1.15512269773484,116.09141413966,966.751806123089,1,,60.1965594634754,0.372196675114408,38.5026406854834,628.789682070498,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,2616.6732334684,129.896331185896,0.385633566013786,-34.5123782257619,73.0247564515237,73.1836395348834,966.751806123088,146.869275214238,1.15512269773484,30.7778610745789,-30.5295092938292,67.0590185876585,67.297343212698
sub_001,no_schema,far,147.793279236002,0.367176215803294,4328.35999783587,1,,67.0892670182692,0.152830848989493,1640.71405887093,1,,168.160163234139,1.1634261669065,131.681891715221,2369.21701504802,1,,68.3664322024233,0.25533538669258,50.5095622070611,1621.7047142868,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,4328.35999783573,147.793278062731,0.367176238684432,-36.5255180823768,77.0510361647536,77.2099192481133,2369.21701504802,168.160163234139,1.1634261669065,36.4782715189176,-34.1150013235037,74.2300026470073,74.4683272720468
sub_001,no_schema,near,109.996532996177,0.263095985770435,2122.03709421996,1,,67.1172053489781,0.164512068780164,1454.3093665472,1,,120.210245938239,0.633463328211397,90.7063016605394,1502.40480497012,1,,70.092083268472,0.38513705401445,45.6523408279564,1361.62763028412,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,2122.0370942183,109.996592463449,0.263096206824578,-33.6742692981285,71.348538596257,71.5074216796167,1502.40480497012,120.210245938239,0.633463328211397,29.5039442776998,-32.2930313254988,70.5860626509975,70.8243872760371
sub_001,random_loc,all_pa,153.139621246067,0.340025538232034,2608.65376112102,1,,78.2406499107309,0.167515395874559,812.344699267024,1,,172.05732752344,0.942939385611094,133.753278173287,331.327458348968,1,,89.4588758604149,0.874451354131232,51.6403575099346,328.888880698045,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,2608.65376112102,153.139621244674,0.340025538249296,-34.5001003665549,73.0002007331098,73.1590838164694,331.327458348968,172.05732752344,0.942939385611094,38.3040493501527,-26.2461708448785,58.492341689757,58.7306663147966
sub_001,random_loc,far,137.629597417517,0.131627502465824,5450.14876863993,1,,112.571302321889,0.110081253368927,5238.63552416924,1,,139.351683543219,0.181414038072827,114.566874519963,5435.00602141107,1,,112.571253296155,0.110081340682941,112.571253290818,5238.63552420634,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,5450.14876863754,137.629567075577,0.131627479896369,-37.4473348360478,78.8946696720957,79.0535527554553,5435.00602141107,139.351683543219,0.181414038072827,24.7848090232558,-37.4362057287181,80.8724114574362,81.1107360824757
sub_001,random_loc,near,166.177609613849,0.56505001688597,4372.05919444369,1,,55.9242563891882,0.119488013054652,1970.40883818321,1,,111.169802230003,0.21676644737417,111.16980222987,8006.99186796482,1,,79.818170208537,2.34397499060353,46.6396475079869,597.199813171811,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,4372.05919444369,166.177609615909,0.565050016944125,-36.5656996535081,77.1313993070162,77.2902823903759,8006.99186796481,111.169802230003,0.21676644737417,1.32388322526822e-10,-38.9860237887436,83.9720475774871,84.2103722025267
sub_001,schema_c,all_pa,172.815573361851,0.632521938053906,2343.60991755952,1,,61.334221976736,0.222872507813506,629.139029454704,1,,181.962198012944,1.19622150300656,156.181026080696,244.259257138069,1,,70.1394098233209,0.89893710650825,45.7844645934477,208.744236731127,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,2343.60991755952,172.815573365124,0.632521938092934,-34.0715329766163,72.1430659532327,72.3019490365923,244.259257138069,181.962198012944,1.19622150300656,25.7811719322474,-25.0266628607697,56.0533257215393,56.2916503465788
sub_001,schema_c,far,146.873347543174,0.400809738202138,8906.78595340628,1,,48.8363606298941,0.050864419897335,3115.93007046714,1,,179.690075207605,35.9835312505065,137.535321443123,3236.88501683338,1,,49.8493145927211,0.218901373025374,17.880222707635,3103.48359451998,1,,"Some columns of the Jacobian are effectively zero at the solution, indicating that the model is insensitive to some of its parameters.  That may be because those parameters are not present in the model, or otherwise do not affect the predicted values.  It may also be due to numerical underflow in the model function, which can sometimes be avoided by choosing better initial parameter values, or by rescaling or recentering.  Parameter estimates may be unreliable.",stats:nlinfit:ModelConstantWRTParam,8906.78595340463,146.873347686357,0.400810013947532,-39.4120170263775,82.824034052755,82.9829171361147,3236.88501683338,179.690075207605,35.9835312505065,42.1547537644823,-35.3632090260115,76.726418052023,76.9647426770625
sub_001,schema_c,near,165.400678442565,1.82484536515912,3566.17771862657,1,,20.5433449105209,-0.0337059353767443,393.487725880898,1,,166.165598074601,35.9997394425318,143.381847797078,409.107756277522,1,,20.6013897046402,0.00106209641492408,-686.505205962834,394.29333870732,1,,"Some columns of the Jacobian are effectively zero at the solution, indicating that the model is insensitive to some of its parameters.  That may be because those parameters are not present in the model, or otherwise do not affect the predicted values.  It may also be due to numerical underflow in the model function, which can sometimes be avoided by choosing better initial parameter values, or by rescaling or recentering.  Parameter estimates may be unreliable.",stats:nlinfit:ModelConstantWRTParam,3566.17771862657,165.400676164425,1.82484553431008,-35.7507406355136,75.5014812710272,75.6603643543869,409.107756277522,166.165598074601,35.9997394425318,22.7837502775233,-27.0896564354133,60.1793128708265,60.417637495866
sub_001,schema_ic,all_pa,114.668644094929,0.411815719711814,2521.05243566102,1,,42.7999390884865,0.0912939445934026,243.726746745836,1,,133.303706971617,1.56705113040581,104.085029269491,77.3229704831292,1,,51.3691500574038,1.89409698111035,21.907161101452,75.9376323622993,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,2521.05243566102,114.668644094811,0.411815719750488,-34.3634690049973,72.7269380099946,72.8858210933543,77.3229704831291,133.303706971617,1.56705113040581,29.2186777021257,-20.425706385501,46.8514127710021,47.0897373960416
