ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_001,schema_c,all_pa,1,1,cb2,241.56613157239482,NA,1,NA,NA
sub_001,schema_c,all_pa,1,2,cb2,161.99737706827835,NA,1,NA,NA
sub_001,schema_c,all_pa,1,3,cb2,201.19284084692225,37.29894660542592,2,NA,NA
sub_001,schema_c,all_pa,1,4,cb2,144.66283231508373,18.172447610058146,2,NA,NA
sub_001,schema_c,all_pa,1,all,cb2,182.54580916078086,42.87831442544574,6,181.962198012944,172.815573365124
sub_001,schema_c,all_pa,2,1,cb2,52.18859116561361,NA,1,NA,NA
sub_001,schema_c,all_pa,2,2,cb2,262.2588359846088,NA,1,NA,NA
sub_001,schema_c,all_pa,2,3,cb2,35.90944760634902,23.901029877353068,2,NA,NA
sub_001,schema_c,all_pa,2,4,cb2,12.587925537519023,7.019791329386355,2,NA,NA
sub_001,schema_c,all_pa,2,all,cb2,68.57369557299309,96.75294418837814,6,73.0000728244016,91.8083303310976
sub_001,schema_c,all_pa,3,1,cb2,49.339946269240734,NA,1,NA,NA
sub_001,schema_c,all_pa,3,2,cb2,24.749245988553938,NA,1,NA,NA
sub_001,schema_c,all_pa,3,3,cb2,43.66990506815381,33.49774979996782,2,NA,NA
sub_001,schema_c,all_pa,3,4,cb2,67.19893496571238,64.82607876412308,2,NA,NA
sub_001,schema_c,all_pa,3,all,cb2,49.304478720921175,36.41812848341235,6,40.05707123586103,48.77320575950448
sub_001,schema_c,all_pa,4,1,cb2,31.95151088527055,NA,1,NA,NA
sub_001,schema_c,all_pa,4,2,cb2,3.878247284786405,NA,1,NA,NA
sub_001,schema_c,all_pa,4,3,cb2,22.40501176282004,3.2285027180051147,2,NA,NA
sub_001,schema_c,all_pa,4,4,cb2,48.11706133810864,6.703433847943617,2,NA,NA
sub_001,schema_c,all_pa,4,all,cb2,29.47898406198572,17.387975068198237,6,30.097267755663296,25.910781641273324
sub_001,schema_c,all_pa,5,1,cb2,9.480686834378746,NA,1,NA,NA
sub_001,schema_c,all_pa,5,2,cb2,29.293933706519393,NA,1,NA,NA
sub_001,schema_c,all_pa,5,3,cb2,27.025255409262975,7.3393868349188125,2,NA,NA
sub_001,schema_c,all_pa,5,4,cb2,12.832761950573355,8.491813729952423,2,NA,NA
sub_001,schema_c,all_pa,5,all,cb2,19.748442543428467,10.2379489691607,6,27.08607628613231,13.76511129024806
sub_001,schema_c,all_pa,6,1,cb2,23.368494770771235,NA,1,NA,NA
sub_001,schema_c,all_pa,6,2,cb2,11.16993126666199,NA,1,NA,NA
sub_001,schema_c,all_pa,6,3,cb2,27.075255699940588,10.56691258362842,2,NA,NA
sub_001,schema_c,all_pa,6,4,cb2,14.550236472497293,4.635644094750386,2,NA,NA
sub_001,schema_c,all_pa,6,all,cb2,19.6315683970515,8.731203685100919,6,26.175689441230816,7.312719911586701
sub_001,schema_c,all_pa,7,1,cb2,35.576840048710935,NA,1,NA,NA
sub_001,schema_c,all_pa,7,2,cb2,5.733824160362186,NA,1,NA,NA
sub_001,schema_c,all_pa,7,3,cb2,28.233220383646334,28.340403887758715,2,NA,NA
sub_001,schema_c,all_pa,7,4,cb2,41.117678953480606,16.984909889115407,2,NA,NA
sub_001,schema_c,all_pa,7,all,cb2,30.00207714722117,19.824543658986965,6,25.90044815692326,3.8848848641857185
sub_001,schema_c,all_pa,8,1,cb2,15.221047856555819,NA,1,NA,NA
sub_001,schema_c,all_pa,8,2,cb2,21.95222487589705,NA,1,NA,NA
sub_001,schema_c,all_pa,8,3,cb2,40.912780694878194,6.642182292739307,2,NA,NA
sub_001,schema_c,all_pa,8,4,cb2,32.93405261967637,19.58741471131786,2,NA,NA
sub_001,schema_c,all_pa,8,all,cb2,30.811156560260333,13.873835492300072,6,25.81723324118545,2.0638463650257
sub_001,schema_c,far,1,all,cb2,179.69007515099412,67.70844948113842,2,179.69007520760502,146.873347686357
sub_001,schema_c,far,2,all,cb2,30.217105697981527,31.951217005831122,2,42.15475376448234,98.37243385814581
sub_001,schema_c,far,3,all,cb2,90.19714298187921,32.30170107738232,2,42.15475376448231,65.8876228779129
sub_001,schema_c,far,4,all,cb2,34.03246286739647,13.215196329916894,2,42.15475376448231,44.1300339764095
sub_001,schema_c,far,5,all,cb2,25.526183316790544,9.459394919068345,2,42.15475376448231,29.557294886288766
sub_001,schema_c,far,6,all,cb2,22.909766170980813,16.45780436940645,2,42.15475376448231,19.796805084311707
sub_001,schema_c,far,7,all,cb2,50.700368034081336,3.4329410273252896,2,42.15475376448231,13.259450604460866
sub_001,schema_c,far,8,all,cb2,41.50024747088369,7.472985774809886,2,42.15475376448231,8.880878989482174
sub_001,schema_c,near,1,all,cb2,166.16559801101187,12.237055265654364,2,166.16559807460104,165.400676164425
sub_001,schema_c,near,2,all,cb2,18.280267445886516,1.030395799091701,2,22.783750277523325,26.66962657282161
sub_001,schema_c,near,3,all,cb2,20.671697051986982,0.9733721132270575,2,22.783750277523296,4.300278560086896
sub_001,schema_c,near,4,all,cb2,36.48961023353221,23.147132895865628,2,22.783750277523296,0.6933878749239109
sub_001,schema_c,near,5,all,cb2,14.33183404304579,10.611821814101955,2,22.783750277523296,0.11180362815421455
sub_001,schema_c,near,6,all,cb2,18.715726001457067,1.2552476910276436,2,22.783750277523296,0.01802750195165667
sub_001,schema_c,near,7,all,cb2,18.650531303045604,14.788435025968598,2,22.783750277523296,0.002906800360438347
