ptp,n_perm,mean_mouse_error,n_perm_less_mouse_error,percentile_sim_mouse_error,qc_fail_mouse_error
sub_001,10000,99.71473320774625,0,0,FALSE
sub_002,10000,37.31037572779918,0,0,FALSE
sub_003,10000,53.56313133154677,0,0,FALSE
sub_004,10000,33.53273281235318,0,0,FALSE
sub_005,10000,46.96966051866585,0,0,FALSE
sub_006,10000,25.42680322619391,0,0,FALSE
sub_007,10000,42.83856481552575,0,0,FALSE
sub_008,10000,82.81894174890716,0,0,FALSE
sub_009,10000,65.95050165005885,0,0,FALSE
sub_010,10000,32.21132105920457,0,0,FALSE
sub_011,10000,61.891690769594504,0,0,FALSE
sub_012,10000,44.96997159464217,0,0,FALSE
sub_013,10000,107.45033459111853,0,0,FALSE
sub_014,10000,90.1708321114738,0,0,FALSE
sub_015,10000,42.5078808375103,0,0,FALSE
sub_016,10000,80.64871886524145,0,0,FALSE
sub_017,10000,37.98207506056815,0,0,FALSE
sub_018,10000,28.56987324316541,0,0,FALSE
sub_019,10000,44.525351207966175,0,0,FALSE
sub_020,10000,76.5388284693776,0,0,FALSE
sub_021,10000,44.383396257135196,0,0,FALSE
sub_022,10000,72.39994343547541,0,0,FALSE
sub_023,10000,47.24835889852916,0,0,FALSE
sub_024,10000,29.700590740279726,0,0,FALSE
sub_025,10000,57.073363032879634,0,0,FALSE
sub_026,10000,30.948790840528574,0,0,FALSE
sub_027,10000,30.944757515588627,0,0,FALSE
sub_028,10000,42.85128957240466,0,0,FALSE
sub_029,10000,74.10503133382959,0,0,FALSE
sub_030,10000,32.16018756470124,0,0,FALSE
sub_031,10000,28.983802448902093,0,0,FALSE
sub_032,10000,41.34352190098944,0,0,FALSE
sub_033,10000,37.54654943601305,0,0,FALSE
sub_034,10000,31.777170743670318,0,0,FALSE
sub_035,10000,65.60023238901255,0,0,FALSE
sub_036,10000,46.96147448317587,0,0,FALSE
sub_037,10000,36.163591541927,0,0,FALSE
sub_038,10000,79.51543823116074,0,0,FALSE
sub_039,10000,27.97688847751298,0,0,FALSE
sub_040,10000,82.99608490787007,0,0,FALSE
sub_041,10000,38.820587733142084,0,0,FALSE
sub_042,10000,54.9609859569808,0,0,FALSE
sub_043,10000,37.93303055793756,0,0,FALSE
sub_044,10000,43.73738452843695,0,0,FALSE
sub_045,10000,101.95732729671964,0,0,FALSE
sub_046,10000,31.3857401156291,0,0,FALSE
sub_047,10000,32.434925449123774,0,0,FALSE
sub_048,10000,122.64105366498137,0,0,FALSE
sub_049,10000,39.19943720853372,0,0,FALSE
sub_050,10000,26.916949680906324,0,0,FALSE
sub_051,10000,86.38679548696089,0,0,FALSE
sub_052,10000,38.67313157792558,0,0,FALSE
sub_053,10000,66.62687166455986,0,0,FALSE
sub_054,10000,50.56325091897502,0,0,FALSE
sub_055,10000,105.5684800065962,0,0,FALSE
sub_056,10000,27.15017631065587,0,0,FALSE
sub_057,10000,35.83973640231976,0,0,FALSE
sub_058,10000,34.336468213829306,0,0,FALSE
sub_059,10000,70.54199893877568,0,0,FALSE
sub_060,10000,34.73103631443862,0,0,FALSE
sub_061,10000,70.04811837077736,0,0,FALSE
sub_062,10000,67.08054242967376,0,0,FALSE
sub_063,10000,57.161347907216104,0,0,FALSE
sub_064,10000,100.48218745003301,0,0,FALSE
sub_065,10000,33.642064896607934,0,0,FALSE
sub_066,10000,23.661788024336015,0,0,FALSE
sub_067,10000,37.116611543217424,0,0,FALSE
sub_068,10000,41.15155567373258,0,0,FALSE
sub_069,10000,38.093150045537406,0,0,FALSE
sub_070,10000,40.51167522537649,0,0,FALSE
sub_071,10000,27.550628458529847,0,0,FALSE
sub_072,10000,80.13360960546429,0,0,FALSE
sub_073,10000,75.49651812126666,0,0,FALSE
sub_074,10000,46.690708869496575,0,0,FALSE
sub_075,10000,27.117115500434284,0,0,FALSE
sub_076,10000,32.48391551624938,0,0,FALSE
sub_077,10000,90.27185053052446,0,0,FALSE
sub_078,10000,48.62391210697619,0,0,FALSE
sub_079,10000,40.24452767674818,0,0,FALSE
sub_080,10000,79.0176957014401,0,0,FALSE
sub_081,10000,83.10768375807798,0,0,FALSE
sub_082,10000,22.958289172864575,0,0,FALSE
sub_083,10000,41.81271847269963,0,0,FALSE
sub_084,10000,76.49638207855402,0,0,FALSE
sub_085,10000,90.50949429207157,0,0,FALSE
sub_086,10000,136.0120458410532,0,0,FALSE
sub_087,10000,73.00535307261575,0,0,FALSE
sub_088,10000,100.16564371371882,0,0,FALSE
sub_089,10000,70.2318119673907,0,0,FALSE
sub_090,10000,23.899537687054483,0,0,FALSE
sub_091,10000,123.87423533487122,0,0,FALSE
sub_092,10000,22.533560607427994,0,0,FALSE
sub_093,10000,132.13373858318135,0,0,FALSE
sub_094,10000,29.64112854860706,0,0,FALSE
sub_095,10000,53.52355347536114,0,0,FALSE
sub_096,10000,43.753048043365084,0,0,FALSE
sub_097,10000,23.901744705914382,0,0,FALSE
sub_098,10000,36.24202872360478,0,0,FALSE
sub_099,10000,56.017037477105866,0,0,FALSE
sub_100,10000,53.87750391149301,0,0,FALSE
sub_101,10000,30.470229059840317,0,0,FALSE
sub_102,10000,67.95147381523752,0,0,FALSE
sub_103,10000,42.56329991785642,0,0,FALSE
sub_104,10000,31.156277135987015,0,0,FALSE
sub_105,10000,61.31955113244511,0,0,FALSE
sub_106,10000,33.35640506206361,0,0,FALSE
sub_107,10000,27.276427393336565,0,0,FALSE
sub_108,10000,45.367377744652224,0,0,FALSE
sub_109,10000,102.85624711951623,0,0,FALSE
sub_110,10000,36.24628947721793,0,0,FALSE
sub_111,10000,57.29716988715304,0,0,FALSE
sub_112,10000,33.94635974783097,0,0,FALSE
sub_113,10000,37.27538565960387,0,0,FALSE
sub_114,10000,39.75458530676117,0,0,FALSE
sub_115,10000,52.8146420243134,0,0,FALSE
sub_116,10000,34.46500821999758,0,0,FALSE
sub_117,10000,58.59173055434372,0,0,FALSE
sub_118,10000,28.41703168210701,0,0,FALSE
sub_119,10000,47.50420166483613,0,0,FALSE
sub_120,10000,37.30924537808464,0,0,FALSE
sub_121,10000,27.181388949142296,0,0,FALSE
sub_122,10000,35.627705248124784,0,0,FALSE
sub_123,10000,44.710250030656205,0,0,FALSE
sub_124,10000,46.590857771911374,0,0,FALSE
sub_125,10000,75.29446320649059,0,0,FALSE
sub_126,10000,79.88815401357078,0,0,FALSE
sub_127,10000,64.73655489849139,0,0,FALSE
sub_128,10000,67.35041200083737,0,0,FALSE
sub_129,10000,95.23717951566668,0,0,FALSE
sub_130,10000,62.53011994912404,0,0,FALSE
sub_131,10000,32.68891281419237,0,0,FALSE
sub_132,10000,35.216429119062454,0,0,FALSE
sub_133,10000,75.04825010400928,0,0,FALSE
sub_134,10000,41.24784536032885,0,0,FALSE
sub_135,10000,46.056419924101554,0,0,FALSE
sub_136,10000,24.087258082258835,0,0,FALSE
