ptp,counterbalancing,batch_id,qc_fail_overall,qc_fail_manual,qc_fail_break_rt,qc_fail_missing_or_fast,qc_fail_mouse_error,n_unique_scroll,qc_fail_display_issues,qc_fail_iqr
sub_128,cb4,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_129,cb1,,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,
sub_130,cb1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_131,cb2,,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,
sub_132,cb4,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_133,cb1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_134,cb3,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_135,cb1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_136,cb3,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_137,cb4,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_138,cb1,,TRUE,FALSE,FALSE,FALSE,FALSE,6,TRUE,
sub_139,cb3,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
sub_140,cb4,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
