ptp,counterbalancing,condition,hidden_pa_img_row_number_across_blocks,mouse_error_mean,mouse_error_sd,mouse_error_n,border_dist_closest,hidden_pa_img_type
sub_002,cb2,schema_6_0,8,35.6016353239859,36.01597313148627,6,all,all_pa
sub_003,cb1,schema_2_2,1,152.84469982810134,105.62884188233724,6,all,all_pa
sub_003,cb1,schema_2_2,2,84.15095275016618,80.73563285527553,6,all,all_pa
sub_003,cb1,schema_2_2,3,56.68323181334794,59.251685068762384,6,all,all_pa
sub_003,cb1,schema_2_2,4,46.51436783343016,44.17311125698887,6,all,all_pa
sub_003,cb1,schema_2_2,5,26.770658709506645,15.493869649738642,6,all,all_pa
sub_003,cb1,schema_2_2,6,67.47586194456103,53.54302239191336,6,all,all_pa
sub_003,cb1,schema_2_2,7,59.49339242711399,79.55262622987871,6,all,all_pa
sub_003,cb1,schema_2_2,8,65.18934936747337,67.15102137937443,6,all,all_pa
sub_003,cb1,schema_4_2,1,162.24837770122872,114.70951355097024,6,all,all_pa
sub_003,cb1,schema_4_2,2,146.0652817328736,104.49577389073984,6,all,all_pa
sub_003,cb1,schema_4_2,3,60.62482395550748,38.856874469494244,6,all,all_pa
sub_003,cb1,schema_4_2,4,42.09502887326106,30.443196400718893,6,all,all_pa
sub_003,cb1,schema_4_2,5,39.123700564701736,25.149036825495916,6,all,all_pa
sub_003,cb1,schema_4_2,6,48.74379855810062,43.87136189997759,6,all,all_pa
sub_003,cb1,schema_4_2,7,36.83655834453487,12.108351801206702,6,all,all_pa
sub_003,cb1,schema_4_2,8,31.666895944058666,8.662122267718468,6,all,all_pa
sub_003,cb1,schema_4_4,1,76.02618242596918,26.83564418415074,6,all,all_pa
sub_003,cb1,schema_4_4,2,85.8952543457949,28.829077360033594,6,all,all_pa
sub_003,cb1,schema_4_4,3,128.2340254446664,108.07886254568221,6,all,all_pa
sub_003,cb1,schema_4_4,4,156.45156295122976,118.23354668214647,6,all,all_pa
sub_003,cb1,schema_4_4,5,97.95672471356269,68.83082536892894,6,all,all_pa
sub_003,cb1,schema_4_4,6,67.32915824343898,57.75622361774222,6,all,all_pa
sub_003,cb1,schema_4_4,7,49.12617678583064,30.170215749161308,6,all,all_pa
sub_003,cb1,schema_4_4,8,98.35079388066912,109.15060149776738,6,all,all_pa
sub_003,cb1,schema_6_0,1,160.3239837640961,74.9954028124658,6,all,all_pa
sub_003,cb1,schema_6_0,2,85.10874152214677,82.5547277980606,6,all,all_pa
sub_003,cb1,schema_6_0,3,82.41011431311921,70.99062661463321,6,all,all_pa
sub_003,cb1,schema_6_0,4,72.71935477487555,82.45179695642253,6,all,all_pa
sub_003,cb1,schema_6_0,5,54.17656683727644,72.65976409859537,6,all,all_pa
sub_003,cb1,schema_6_0,6,35.83110726763493,14.896451569500528,6,all,all_pa
sub_003,cb1,schema_6_0,7,28.39631692575861,11.830978998140333,6,all,all_pa
sub_003,cb1,schema_6_0,8,51.87817287051302,35.5527935967455,6,all,all_pa
sub_004,cb3,schema_2_2,1,136.49186655767966,49.211390622327805,6,all,all_pa
sub_004,cb3,schema_2_2,2,124.96679555776944,101.81088790064949,6,all,all_pa
sub_004,cb3,schema_2_2,3,128.42531738767994,120.90596571480816,6,all,all_pa
sub_004,cb3,schema_2_2,4,51.21863245192123,69.55564860672509,6,all,all_pa
sub_004,cb3,schema_2_2,5,17.146350064424333,6.749180959696268,6,all,all_pa
sub_004,cb3,schema_2_2,6,19.802116494976723,9.307697768318162,6,all,all_pa
sub_004,cb3,schema_2_2,7,18.10085509016959,7.155674845198906,6,all,all_pa
sub_004,cb3,schema_2_2,8,19.883596601361294,9.745641759124396,6,all,all_pa
sub_004,cb3,schema_4_2,1,201.38959259486597,112.56574030207791,6,all,all_pa
sub_004,cb3,schema_4_2,2,152.50479248000164,122.9320670074557,6,all,all_pa
sub_004,cb3,schema_4_2,3,99.2257923938306,82.40826217143682,6,all,all_pa
sub_004,cb3,schema_4_2,4,61.404534233829494,64.63265755922322,6,all,all_pa
sub_004,cb3,schema_4_2,5,92.60705410768979,90.50450569780976,6,all,all_pa
sub_004,cb3,schema_4_2,6,97.25416456019661,97.81656889965284,6,all,all_pa
sub_004,cb3,schema_4_2,7,23.358016465415563,19.53059243276502,6,all,all_pa
sub_004,cb3,schema_4_2,8,48.829667125597794,57.22693608313499,6,all,all_pa
sub_004,cb3,schema_4_4,1,160.10091854234628,116.96603463438629,6,all,all_pa
sub_004,cb3,schema_4_4,2,60.43095193179135,46.46643265636968,6,all,all_pa
sub_004,cb3,schema_4_4,3,32.174426799450565,35.54768040158369,6,all,all_pa
sub_004,cb3,schema_4_4,4,21.930729941677992,19.805192426256966,6,all,all_pa
sub_004,cb3,schema_4_4,5,21.65371259468049,16.01038802147297,6,all,all_pa
sub_004,cb3,schema_4_4,6,23.581131494889885,13.151711008532263,6,all,all_pa
sub_004,cb3,schema_4_4,7,27.611949428659262,14.642594074900027,6,all,all_pa
sub_004,cb3,schema_4_4,8,25.97580070093493,22.217915176406002,6,all,all_pa
sub_004,cb3,schema_6_0,1,208.3303906999663,72.25052900228613,6,all,all_pa
sub_004,cb3,schema_6_0,2,77.32752664320667,54.451416770954154,6,all,all_pa
sub_004,cb3,schema_6_0,3,31.311872514179914,17.742183567300305,6,all,all_pa
sub_004,cb3,schema_6_0,4,26.615900616243515,9.106338720574294,6,all,all_pa
sub_004,cb3,schema_6_0,5,27.459784843283146,12.838017912391818,6,all,all_pa
sub_004,cb3,schema_6_0,6,28.1192803881494,22.348666607822892,6,all,all_pa
sub_004,cb3,schema_6_0,7,20.415978172364422,12.51116900004985,6,all,all_pa
sub_004,cb3,schema_6_0,8,24.7242668648577,19.972626094872236,6,all,all_pa
sub_005,cb2,schema_2_2,1,165.332637785754,79.54609232100267,6,all,all_pa
sub_005,cb2,schema_2_2,2,151.50454495955103,101.64505188956042,6,all,all_pa
sub_005,cb2,schema_2_2,3,103.24336816472633,97.08490253424742,6,all,all_pa
sub_005,cb2,schema_2_2,4,125.17424167231431,103.0349300099116,6,all,all_pa
sub_005,cb2,schema_2_2,5,73.77577409585184,81.80749200564965,6,all,all_pa
sub_005,cb2,schema_2_2,6,61.11619424639265,95.86690068304479,6,all,all_pa
sub_005,cb2,schema_2_2,7,37.944041612685545,15.207608385772032,6,all,all_pa
sub_005,cb2,schema_2_2,8,57.23802850781007,33.754409682788705,6,all,all_pa
sub_005,cb2,schema_4_2,1,196.51467667131382,113.19843757102036,6,all,all_pa
sub_005,cb2,schema_4_2,2,110.86662677080973,98.3384313737117,6,all,all_pa
sub_005,cb2,schema_4_2,3,91.32614442154886,128.46113201659864,6,all,all_pa
sub_005,cb2,schema_4_2,4,36.039443965702866,20.661421779249757,6,all,all_pa
sub_005,cb2,schema_4_2,5,51.23460939656052,39.096725818426776,6,all,all_pa
sub_005,cb2,schema_4_2,6,50.553734925950344,38.819936776712424,6,all,all_pa
sub_005,cb2,schema_4_2,7,38.694823715756165,31.355844163491344,6,all,all_pa
sub_005,cb2,schema_4_2,8,26.730116051431644,26.86114707620721,6,all,all_pa
sub_005,cb2,schema_4_4,1,213.23210195760373,85.83441614742837,6,all,all_pa
sub_005,cb2,schema_4_4,2,116.15987531418781,92.45457915183397,6,all,all_pa
sub_005,cb2,schema_4_4,3,40.77987249858387,26.000219237215887,6,all,all_pa
sub_005,cb2,schema_4_4,4,95.7236020313319,89.49097973238896,6,all,all_pa
sub_005,cb2,schema_4_4,5,82.42519852289928,92.39579865783824,6,all,all_pa
sub_005,cb2,schema_4_4,6,42.19416863432355,46.30595951119142,6,all,all_pa
sub_005,cb2,schema_4_4,7,56.746634651411995,41.4356250550554,6,all,all_pa
sub_005,cb2,schema_4_4,8,54.78328328651563,61.47176604781587,6,all,all_pa
sub_005,cb2,schema_6_0,1,200.78559250130598,103.25559365387696,6,all,all_pa
